,P,My,Mz,Width,Depth,D_rebar,w_g,d_g,numRebars,As_total,h,fc
0,0.0,0.1251843777637582,0.458268,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
1,0.0,0.0161155125558541,0.468992,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
2,0.0,0.2529868957555431,0.393848,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
3,0.0,0.3032446395125228,0.341685,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
4,0.0,0.1478698579336756,0.452368,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
5,0.0,0.071456677305434,0.466583,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
6,0.0,0.1863735900445221,0.438798,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
7,0.0,0.0227738519874502,0.468776,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
8,0.0,0.3199659481546311,0.319525,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
9,0.0,0.1368363712252159,0.455326,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
10,0.0,0.3444859446879929,0.271784,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
11,0.0,0.0445179482008032,0.467939,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
12,0.0,0.2358566685093373,0.40562,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
13,0.0,0.1413590502377019,0.454151,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
14,0.0,0.1140349998097607,0.460566,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
15,0.0,0.1793624625972748,0.441995,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
16,0.0,0.0887906315085019,0.465018,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
17,0.0,0.3842633376204481,0.122941,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
18,0.0,0.2243074614858444,0.413632,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
19,0.0,0.3085730354154463,0.334917,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
20,0.0,0.3058746449567032,0.338362,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
21,0.0,0.0959090382238539,0.463893,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
22,0.0,0.3560154001103331,0.248038,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
23,0.0,0.1979342189265702,0.431072,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
24,0.0,0.0428925121874548,0.468004,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
25,0.0,0.3277701953916447,0.306973,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
26,0.0,0.2621482222257775,0.387226,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
27,0.0,0.2012517730191727,0.428899,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
28,0.0,0.1402990829131328,0.454431,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
29,0.0,0.3840470668816949,0.124474,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
30,0.0,0.387898,0.0310314,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
31,-0.1515565381854033,0.1908684414676436,0.466822,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
32,-0.1515565381854033,0.3128825892670811,0.374894,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
33,-0.1515565381854033,0.2712183419176021,0.412727,0.55,0.65,0.025,3.0,3.0,8,0.0039269908169872,4.0,-30
